clk init swapxy x y r0 r1 r2 r3 r4 r5 r6 r7
0 1 0 000 000 0 1 2 3 4 5 6 7
0 0 1 000 111 0 1 2 3 4 5 6 7
1 0 1 000 111 7 1 2 3 4 5 6 0
0 0 1 000 111 7 1 2 3 4 5 6 0
0 0 1 001 110 7 1 2 3 4 5 6 0
1 0 1 001 110 7 6 2 3 4 5 1 0
0 0 1 001 110 7 6 2 3 4 5 1 0
0 0 1 010 101 7 6 2 3 4 5 1 0
1 0 1 010 101 7 6 5 3 4 2 1 0
0 0 1 010 101 7 6 5 3 4 2 1 0
0 0 1 011 100 7 6 5 3 4 2 1 0
1 0 1 011 100 7 6 5 4 3 2 1 0
0 0 1 011 100 7 6 5 4 3 2 1 0
0 1 0 000 000 0 1 2 3 4 5 6 7
1 1 0 000 000 0 1 2 3 4 5 6 7

0 1 0 000 000 0 1 2 3 4 5 6 7
0 0 1 000 001 0 1 2 3 4 5 6 7
1 0 1 000 001 1 0 2 3 4 5 6 7
0 0 1 000 001 1 0 2 3 4 5 6 7
0 0 1 001 010 1 0 2 3 4 5 6 7
1 0 1 001 010 1 2 0 3 4 5 6 7
0 0 1 001 010 1 2 0 3 4 5 6 7
0 0 1 010 011 1 2 0 3 4 5 6 7
1 0 1 010 011 1 2 3 0 4 5 6 7
0 0 1 010 011 1 2 3 0 4 5 6 7
0 0 1 011 100 1 2 3 0 4 5 6 7
1 0 1 011 100 1 2 3 4 0 5 6 7
0 0 1 011 100 1 2 3 4 0 5 6 7
0 0 1 100 101 1 2 3 4 0 5 6 7
1 0 1 100 101 1 2 3 4 5 0 6 7
0 0 1 100 101 1 2 3 4 5 0 6 7
0 0 1 101 110 1 2 3 4 5 0 6 7
1 0 1 101 110 1 2 3 4 5 6 0 7
0 0 1 101 110 1 2 3 4 5 6 0 7
0 0 1 110 111 1 2 3 4 5 6 0 7
1 0 1 110 111 1 2 3 4 5 6 7 0
0 0 1 110 111 1 2 3 4 5 6 7 0
0 1 0 000 000 0 1 2 3 4 5 6 7
1 1 0 000 000 0 1 2 3 4 5 6 7

0 1 0 000 000 0 1 2 3 4 5 6 7
0 0 1 000 011 0 1 2 3 4 5 6 7
1 0 1 000 011 3 1 2 0 4 5 6 7
0 0 1 000 011 3 1 2 0 4 5 6 7
0 0 1 010 101 3 1 2 0 4 5 6 7
1 0 1 010 101 3 1 5 0 4 2 6 7
0 0 1 010 101 3 1 5 0 4 2 6 7
0 0 1 011 110 3 1 5 0 4 2 6 7
1 0 1 011 110 3 1 5 6 4 2 0 7
0 0 1 011 110 3 1 5 6 4 2 0 7
0 0 1 100 110 3 1 5 6 4 2 0 7
1 0 1 100 110 3 1 5 6 0 2 4 7
0 0 1 100 110 3 1 5 6 0 2 4 7
0 0 1 101 110 3 1 5 6 0 2 4 7
1 0 1 101 110 3 1 5 6 0 4 2 7
0 0 1 101 110 3 1 5 6 0 4 2 7
0 0 1 101 111 3 1 5 6 0 4 2 7
1 0 1 101 111 3 1 5 6 0 7 2 4
0 0 1 101 111 3 1 5 6 0 7 2 4
0 1 0 000 000 0 1 2 3 4 5 6 7
1 1 0 000 000 0 1 2 3 4 5 6 7
